"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"2784",400322,400322,489286,1930,NA,3,2,0,2,NA,NA,NA,1002,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1420,"Grant","N","Ave","","","1420 N Grant Ave","Indianapolis","IN",46201,"","Residential","SingleFamily","",39.785955,-86.098563,NA,NA,4791,0.11,"",NA,NA,NA,"",NA,NA,58900,NA,NA,NA,NA,2016-09-23,73820,"","",NA,NA,NA
"2786",400760,400760,489744,1920,NA,4,2.5,1,2,NA,NA,NA,1840,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1928,"Michigan","W","St","","","1928 W Michigan St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.774991,-86.194967,NA,NA,4443,0.102,"",NA,NA,NA,"",NA,NA,37300,NA,NA,NA,NA,2016-03-09,67500,"","",NA,NA,NA
"2791",400765,400765,489749,1898,NA,2,1,0,1,NA,NA,NA,1664,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",74,"Addison","N","St","","","74 N Addison St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.767573,-86.20446,NA,NA,5227,0.12,"",NA,NA,NA,"",NA,NA,75700,NA,NA,NA,NA,2016-06-24,85000,"","",NA,NA,NA
"2793",400767,400767,489751,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3129,"Jackson","","St","","","3129 Jackson St","Indianapolis","IN",46222,"","Residential","SingleFamily","",39.76324,-86.21155,NA,NA,10890,0.25,"",NA,NA,NA,"",NA,NA,17000,NA,NA,NA,NA,2016-05-10,50000,"","",NA,NA,NA
"2795",401281,401281,490286,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3130,"Capitol","N","Ave","","","3130 N Capitol Ave","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.812321,-86.161812,NA,NA,5271,0.121,"",NA,NA,NA,"",NA,NA,3300,NA,NA,NA,NA,2016-09-12,90000,"","",NA,NA,NA
"2806",406844,406844,496075,1960,NA,3,3,0,3,NA,NA,NA,3032,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5339,"62nd","E","St","","","5339 E 62nd St","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.868242,-86.077837,NA,NA,32670,0.75,"",NA,NA,NA,"",NA,NA,360600,NA,NA,NA,NA,2016-09-14,355000,"","",NA,NA,NA
"2807",406845,406845,496076,1954,NA,3,3,0,3,NA,NA,NA,3081,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6425,"Sherman","N","Dr","","","6425 N Sherman Dr","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.872727,-86.102793,NA,NA,29999,0.6887,"",NA,NA,NA,"",NA,NA,341400,NA,NA,NA,NA,2016-06-15,395900,"","",NA,NA,NA
"2810",406848,406848,496079,1955,NA,3,2,0,2,NA,NA,NA,2115,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5935,"Kessler","","Ln","","","5935 Kessler Ln","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.864016,-86.096345,NA,NA,38768,0.89,"",NA,NA,NA,"",NA,NA,140300,NA,NA,NA,NA,2016-07-05,222000,"","",NA,NA,NA
"2817",406855,406855,496086,1950,NA,3,3,0,3,NA,NA,NA,3711,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6432,"Dean","","Rd","","","6432 Dean Rd","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.873115,-86.09918,NA,NA,45001,1.0331,"",NA,NA,NA,"",NA,NA,348200,NA,NA,NA,NA,2016-08-08,415000,"","",NA,NA,NA
"2818",406856,406856,496087,1941,NA,3,2,0,2,NA,NA,NA,3628,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7070,"Dover","","Rd","","","7070 Dover Rd","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.882561,-86.094053,NA,NA,90604,2.08,"",NA,NA,NA,"",NA,NA,285100,NA,NA,NA,NA,2016-04-29,307000,"","",NA,NA,NA
"2820",406858,406858,496089,1940,NA,3,1.5,1,1,NA,NA,NA,2448,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4200,"71st","E","St","","","4200 E 71st St","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.88387,-86.095317,NA,NA,60679,1.393,"",NA,NA,NA,"",NA,NA,223900,NA,NA,NA,NA,2016-05-31,225000,"","",NA,NA,NA
"2823",406861,406861,496092,1951,NA,4,3,0,3,NA,NA,NA,3340,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6412,"Oakland","N","Ave","","","6412 N Oakland Ave","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.87309,-86.111944,NA,NA,33598,0.7713,"",NA,NA,NA,"",NA,NA,208400,NA,NA,NA,NA,2016-07-21,345000,"","",NA,NA,NA
"2824",406862,406862,496093,1949,NA,4,2,0,2,NA,NA,NA,2557,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6364,"Oakland","N","Ave","","","6364 N Oakland Ave","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.87207,-86.111982,NA,NA,57499,1.32,"",NA,NA,NA,"",NA,NA,192000,NA,NA,NA,NA,2016-08-18,137500,"","",NA,NA,NA
"2826",406864,406864,496095,1950,NA,3,2.5,1,2,NA,NA,NA,2904,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6329,"Allisonville","","Rd","","","6329 Allisonville Rd","Indianapolis","IN",46220,"","Residential","SingleFamily","",39.872728,-86.094205,NA,NA,30492,0.7,"",NA,NA,NA,"",NA,NA,181100,NA,NA,NA,NA,2016-07-27,213000,"","",NA,NA,NA
"2827",406930,406930,496166,1968,NA,3,2,0,2,1,NA,1,3246,1082,552,NA,NA,"Central","","Single Family",NA,"Average","Brick",1,"Masonry",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",8833,"Westminster","","Ct","","","8833 Westminster Ct","Indianapolis","IN",46256,"","Residential","Single Family Residence / Townhouse","49-01-30-110-019.000-400",39.88828,-86.01269,190,125,27356,0.628,"17",30,NA,NA,"",41800,179900,221700,NA,2217,2015,NA,2016-01-11,81250,"Grant Deed","MORRIS JEFFREY K",NA,NA,NA
"2829",406932,406932,496168,1997,NA,4,2.5,1,2,NA,NA,NA,3855,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6147,"Ledgestone","","Ct","","","6147 Ledgestone Ct","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.8697,-85.983658,NA,NA,11325,0.26,"",NA,NA,NA,"",NA,NA,181700,NA,NA,NA,NA,2016-04-29,191000,"","",NA,NA,NA
"2831",406934,406934,496170,1998,NA,3,2.5,1,2,NA,NA,NA,1851,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",10137,"Honeywell","","Ln","","","10137 Honeywell Ln","Indianapolis","IN",46236,"","Residential","SingleFamily","",39.865206,-85.988255,NA,NA,43560,1,"",NA,NA,NA,"",NA,NA,139100,NA,NA,NA,NA,2016-06-30,150000,"","",NA,NA,NA
"2832",406935,406935,496171,1908,NA,5,3.5,1,3,NA,NA,NA,6136,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5866,"Lawton Loop","WEST","Dr","","","5866 Lawton Loop West Dr","Indianapolis","IN",46216,"","Residential","SingleFamily","",39.863274,-86.014417,NA,NA,20473,0.47,"",NA,NA,NA,"",NA,NA,404700,NA,NA,NA,NA,2016-08-09,394800,"","",NA,NA,NA
"2838",406941,406941,496177,1980,NA,3,3.5,1,3,NA,NA,NA,3196,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8190,"Lantern","","Rd","","","8190 Lantern Rd","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.901969,-86.010185,NA,NA,56627,1.3,"",NA,NA,NA,"",NA,NA,275900,NA,NA,NA,NA,2016-10-07,281000,"","",NA,NA,NA
"2839",406942,406942,496178,1959,NA,4,2.5,1,2,NA,NA,NA,4212,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",6941,"Lantern","","Rd","","","6941 Lantern Rd","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.882595,-86.013328,NA,NA,36459,0.837,"",NA,NA,NA,"",NA,NA,269400,NA,NA,NA,NA,2016-08-31,261000,"","",NA,NA,NA
"2840",406943,406943,496179,1969,NA,4,3,0,3,NA,NA,NA,3200,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",7101,"Fremont","","Ct","","","7101 Fremont Ct","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.883686,-86.008875,NA,NA,23740,0.545,"",NA,NA,NA,"",NA,NA,234000,NA,NA,NA,NA,2016-08-05,229000,"","",NA,NA,NA
"2841",406944,406944,496180,1960,NA,3,2,0,2,NA,NA,NA,3856,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8916,"Mcilvain","","Dr","","","8916 Mcilvain Dr","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.884462,-86.011407,NA,NA,24742,0.568,"",NA,NA,NA,"",NA,NA,214300,NA,NA,NA,NA,2016-07-07,227000,"","",NA,NA,NA
"2842",406945,406945,496181,1960,NA,3,2,0,2,NA,NA,NA,1944,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8927,"Carriage","","Ln","","","8927 Carriage Ln","Indianapolis","IN",46256,"","Residential","SingleFamily","",39.885041,-86.011298,NA,NA,23740,0.545,"",NA,NA,NA,"",NA,NA,164400,NA,NA,NA,NA,2016-06-30,210000,"","",NA,NA,NA
"2845",407105,407105,496347,1930,NA,0,NA,NA,NA,NA,NA,NA,8658,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3835,"Washington","E","St","","","3835 E Washington St","Indianapolis","IN",46201,"","Residential","MultiFamily2To4","",39.76893,-86.101093,NA,NA,6098,0.14,"",NA,NA,NA,"",NA,NA,117700,NA,NA,NA,NA,2016-03-03,175000,"","",NA,NA,NA
"2848",407809,407809,497078,1950,NA,2,2,0,2,NA,NA,NA,2178,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",945,"Belmar","","Ave","","","945 Belmar Ave","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.781291,-86.024205,NA,NA,20037,0.46,"",NA,NA,NA,"",NA,NA,98500,NA,NA,NA,NA,2016-08-25,97500,"","",NA,NA,NA
"2849",407810,407810,497079,1940,NA,3,1,0,1,NA,NA,NA,1872,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",12,"Burbank","","Rd","","","12 Burbank Rd","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.773408,-86.036152,NA,NA,12458,0.286,"",NA,NA,NA,"",NA,NA,64400,NA,NA,NA,NA,2016-06-16,92000,"","",NA,NA,NA
"2851",407812,407812,497081,1941,NA,3,2,0,2,NA,NA,NA,2268,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",145,"Woodside","","Ave","","","145 Woodside Ave","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.775807,-86.038053,NA,NA,11325,0.26,"",NA,NA,NA,"",NA,NA,75200,NA,NA,NA,NA,2016-05-20,85000,"","",NA,NA,NA
"2853",407814,407814,497083,1950,NA,3,1,0,1,NA,NA,NA,1460,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",1234,"Elmhurst","","Dr","","","1234 Elmhurst Dr","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.784291,-86.042698,NA,NA,75280,1.7282,"",NA,NA,NA,"",NA,NA,86900,NA,NA,NA,NA,2016-08-18,86999,"","",NA,NA,NA
"2855",407816,407816,497085,1960,NA,3,2,0,2,NA,NA,NA,1905,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",415,"Buren","","Pl","","","415 Buren Pl","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.778236,-86.027111,NA,NA,17162,0.394,"",NA,NA,NA,"",NA,NA,113000,NA,NA,NA,NA,2016-05-12,125000,"","",NA,NA,NA
"2858",407819,407819,497088,1957,NA,3,1.5,1,1,NA,NA,NA,2888,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8105,"12th","E","St","","","8105 E 12th St","Indianapolis","IN",46219,"","Residential","SingleFamily","",39.783818,-86.024505,NA,NA,14810,0.34,"",NA,NA,NA,"",NA,NA,100200,NA,NA,NA,NA,2016-05-31,118000,"","",NA,NA,NA
"2870",411910,411910,501318,1978,NA,3,1.5,1,1,NA,NA,NA,1080,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5318,"Shelbyville","","Rd","","","5318 Shelbyville Rd","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.685676,-86.07735,NA,NA,8690,0.1995,"",NA,NA,NA,"",NA,NA,77400,NA,NA,NA,NA,2016-05-12,95500,"","",NA,NA,NA
"2871",411911,411911,501319,1978,NA,3,NA,NA,NA,NA,NA,NA,1340,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5243,"Wagon Wheel","","Trl","","","5243 Wagon Wheel Trl","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.690704,-86.076006,NA,NA,8089,0.1857,"",NA,NA,NA,"",NA,NA,87900,NA,NA,NA,NA,2016-05-13,127000,"","",NA,NA,NA
"2873",411913,411913,501321,1979,NA,3,2,0,2,NA,NA,NA,1194,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5335,"Concho","","Dr","","","5335 Concho Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.686695,-86.076362,NA,NA,7361,0.169,"",NA,NA,NA,"",NA,NA,83800,NA,NA,NA,NA,2016-04-20,85999,"","",NA,NA,NA
"2874",411914,411914,501322,1980,NA,3,1,0,1,NA,NA,NA,992,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5332,"Lobo","","Dr","","","5332 Lobo Dr","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.68854,-86.076328,NA,NA,7265,0.1668,"",NA,NA,NA,"",NA,NA,80800,NA,NA,NA,NA,2016-07-29,80500,"","",NA,NA,NA
"2875",411915,411915,501323,1980,NA,3,1,0,1,NA,NA,NA,936,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5310,"Chisolm","","Trl","","","5310 Chisolm Trl","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.690073,-86.075133,NA,NA,8184,0.1879,"",NA,NA,NA,"",NA,NA,69000,NA,NA,NA,NA,2016-06-30,86000,"","",NA,NA,NA
"2883",411923,411923,501331,1983,NA,3,1.5,1,1,NA,NA,NA,1534,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5158,"Laredo","","St","","","5158 Laredo St","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.692346,-86.072841,NA,NA,7405,0.17,"",NA,NA,NA,"",NA,NA,96500,NA,NA,NA,NA,2016-06-15,116500,"","",NA,NA,NA
"2884",411924,411924,501332,1955,NA,3,NA,NA,NA,NA,NA,NA,912,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4617,"Shelbyville","","Rd","","","4617 Shelbyville Rd","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.69162,-86.090555,NA,NA,16552,0.38,"",NA,NA,NA,"",NA,NA,73600,NA,NA,NA,NA,2016-06-09,77500,"","",NA,NA,NA
"2886",411926,411926,501334,1961,NA,3,2,0,2,NA,NA,NA,1296,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4933,"Bancroft","S","St","","","4933 S Bancroft St","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.695501,-86.084388,NA,NA,21780,0.5,"",NA,NA,NA,"",NA,NA,102400,NA,NA,NA,NA,2016-07-07,125000,"","",NA,NA,NA
"2887",411927,411927,501335,1961,NA,6,3.5,1,3,NA,NA,NA,2998,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",5330,"Emerson","S","Ave","","","5330 S Emerson Ave","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.689637,-86.083201,NA,NA,29620,0.68,"",NA,NA,NA,"",NA,NA,158300,NA,NA,NA,NA,2016-04-22,107640,"","",NA,NA,NA
"2888",411928,411928,501336,1960,NA,3,2,0,2,NA,NA,NA,1428,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4404,"Shelbyville","","Rd","","","4404 Shelbyville Rd","Indianapolis","IN",46237,"","Residential","SingleFamily","",39.693046,-86.093175,NA,NA,26528,0.609,"",NA,NA,NA,"",NA,NA,105100,NA,NA,NA,NA,2016-08-25,126000,"","",NA,NA,NA
"2892",412465,412465,501889,1970,NA,4,3,0,3,NA,NA,NA,2052,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",819,"Balroyal","","Ct","","","819 Balroyal Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.776643,-86.318273,NA,NA,43560,1,"",NA,NA,NA,"",NA,NA,143800,NA,NA,NA,NA,2016-07-01,167900,"","",NA,NA,NA
"2893",412466,412466,501890,1973,NA,3,3,0,3,NA,NA,NA,2382,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",915,"Greenlee","","Ct","","","915 Greenlee Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.777925,-86.320775,NA,NA,13982,0.321,"",NA,NA,NA,"",NA,NA,149400,NA,NA,NA,NA,2016-08-22,165000,"","",NA,NA,NA
"2894",412467,412467,501891,1974,NA,3,3,0,3,NA,NA,NA,2867,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",523,"Sudbury","","Ct","","","523 Sudbury Ct","Indianapolis","IN",46234,"","Residential","SingleFamily","",39.773226,-86.318757,NA,NA,11848,0.272,"",NA,NA,NA,"",NA,NA,172800,NA,NA,NA,NA,2016-06-03,189500,"","",NA,NA,NA
"2896",412708,412708,502140,1963,NA,5,2,0,2,NA,NA,NA,2767,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9905,"10th","E","St","","","9905 E 10th St","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.781418,-85.991905,NA,NA,49484,1.136,"",NA,NA,NA,"",NA,NA,123800,NA,NA,NA,NA,2016-07-21,152500,"","",NA,NA,NA
"2897",412709,412709,502141,1954,NA,2,1,0,1,NA,NA,NA,1025,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9905,"16th","E","St","","","9905 E 16th St","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.789027,-85.992026,NA,NA,38332,0.88,"",NA,NA,NA,"",NA,NA,74700,NA,NA,NA,NA,2016-01-28,60000,"","",NA,NA,NA
"2903",412715,412715,502147,1957,NA,3,3,0,3,NA,NA,NA,1350,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",9922,"11th","E","St","","","9922 E 11th St","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.783798,-85.991461,NA,NA,38420,0.882,"",NA,NA,NA,"",NA,NA,134200,NA,NA,NA,NA,2016-05-20,142000,"","",NA,NA,NA
"2904",412716,412716,502148,1962,NA,3,2,0,2,NA,NA,NA,1596,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",10344,"21st","E","Pl","","","10344 E 21st Pl","Indianapolis","IN",46229,"","Residential","SingleFamily","",39.796719,-85.983293,NA,NA,43560,1,"",NA,NA,NA,"",NA,NA,97100,NA,NA,NA,NA,2016-07-15,101000,"","",NA,NA,NA
"2907",413541,413541,503017,1985,NA,3,1.5,1,1,NA,NA,NA,1794,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8928,"Sunburst","","Ct","","","8928 Sunburst Ct","Indianapolis","IN",46227,"","Residential","SingleFamily","",39.63624,-86.10942,NA,NA,10629,0.244,"",NA,NA,NA,"",NA,NA,123200,NA,NA,NA,NA,2016-09-23,147000,"","",NA,NA,NA
"2917",413920,413920,503409,1984,NA,3,2,0,2,NA,NA,NA,2154,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2805,"Lakeshire","","Ln","","","2805 Lakeshire Ln","Indianapolis","IN",46268,"","Residential","Condominium","",39.924747,-86.210313,NA,NA,4164,0.0956,"",NA,NA,NA,"",NA,NA,99300,NA,NA,NA,NA,2016-05-17,108500,"","",NA,NA,NA
"2936",414218,414218,503716,1905,5,3,0,0,0,1.5,NA,1,863,167,NA,NA,NA,"","","",NA,"Fair","Wood",NA,"",NA,NA,"","Warm Air",NA,NA,"","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",1428,"Alabama","S","St","","","1428 S Alabama St","Indianapolis","IN",46225,"","Residential","Duplex, Triplex, Quadplex","49-11-13-116-011.000-101",39.74745,-86.15242,84,30,2526,0.058,"15",13,NA,NA,"",3400,37600,41000,NA,903,2015,NA,2016-07-12,24875,"Grant Deed","SNODGRASS BRETT",NA,NA,NA
"2937",414219,414219,503717,1910,NA,1,1,0,1,NA,NA,NA,600,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",78,"Schiller","","St","","","78 Schiller St","Indianapolis","IN",46225,"","Residential","MultiFamily2To4","",39.739911,-86.156623,NA,NA,3267,0.075,"",NA,NA,NA,"",NA,NA,42700,NA,NA,NA,NA,2016-05-20,58000,"","",NA,NA,NA
"2948",414230,414230,503728,1920,NA,0,NA,NA,NA,NA,NA,NA,1112,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3819,"Boulevard","","Pl","","","3819 Boulevard Pl","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.825437,-86.163631,NA,NA,5227,0.12,"",NA,NA,NA,"",NA,NA,88100,NA,NA,NA,NA,2016-08-15,32000,"","",NA,NA,NA
"2950",414232,414232,503730,1911,NA,3,2,0,2,NA,NA,NA,1612,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4011,"Cornelius","","Ave","","","4011 Cornelius Ave","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.828658,-86.165448,NA,NA,5001,0.1148,"",NA,NA,NA,"",NA,NA,81700,NA,NA,NA,NA,2016-06-01,20000,"","",NA,NA,NA
"2951",414233,414233,503731,1930,NA,3,1,0,1,NA,NA,NA,1660,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",324,"40th","W","St","","","324 W 40th St","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.828624,-86.164811,NA,NA,10890,0.25,"",NA,NA,NA,"",NA,NA,60700,NA,NA,NA,NA,2016-01-06,21450,"","",NA,NA,NA
"2954",414780,414780,504296,1930,NA,2,NA,NA,NA,NA,NA,NA,924,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4074,"Byram","","Ave","","","4074 Byram Ave","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.830389,-86.169715,NA,NA,5001,0.1148,"",NA,NA,NA,"",NA,NA,70200,NA,NA,NA,NA,2016-07-15,63500,"","",NA,NA,NA
"2957",414783,414783,504299,1930,NA,3,2,0,2,NA,NA,NA,1920,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4257,"Boulevard","","Pl","","","4257 Boulevard Pl","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.833701,-86.163706,NA,NA,5070,0.1164,"",NA,NA,NA,"",NA,NA,106700,NA,NA,NA,NA,2016-07-23,148000,"","",NA,NA,NA
"2958",414784,414784,504300,1920,NA,3,1,0,1,NA,NA,NA,1810,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",3827,"Central","","Ave","","","3827 Central Ave","Indianapolis","IN",46205,"","Residential","SingleFamily","",39.825824,-86.149435,NA,NA,7919,0.1818,"",NA,NA,NA,"",NA,NA,218900,NA,NA,NA,NA,2016-06-30,121000,"","",NA,NA,NA
"2962",414788,414788,504304,1953,NA,3,2,0,2,NA,NA,NA,1417,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",4057,"Clarendon","","Rd","","","4057 Clarendon Rd","Indianapolis","IN",46208,"","Residential","SingleFamily","",39.829917,-86.170833,NA,NA,7501,0.1722,"",NA,NA,NA,"",NA,NA,81400,NA,NA,NA,NA,2016-08-31,69000,"","",NA,NA,NA
